family,spearman_geodesic_gc
adam_metallopeptidase,0.3675752558882261
adamts_metallopeptidase,0.38297511734495876
adrenoceptor,0.6334509808885259
alcohol_dehydrogenase,0.20422040038378458
aldehyde_dehydrogenase,0.3136032696554857
aldo_keto_reductase,0.3416212078048485
alkaline_phosphatase,0.32909239889665276
arachidonate_lipoxygenase,0.4655489681886826
arf_gtpase,0.4411452840055962
carbonic_anhydrase,0.31233979532078016
cxc_chemokine_receptor,0.5326322205428892
cytochrome_p450,0.4186240337929465
dopamine_receptor,0.44293689365281974
ectonucleotide_pyrophosphatase,0.4001706821801023
ferritin,0.4557468662626323
flavin_monooxygenase,0.36428184724168994
globins,0.5492400135628551
glutamate_metabotropic,0.37506949489262403
glutaredoxin,0.5074058351712039
glutathione_peroxidase,0.5133681575556615
glutathione_s_transferase,0.32051819962254885
guanylate_binding_protein,0.45065256973513235
heme_oxygenase,0.5482560038224382
histamine_receptor,0.4248682686231819
histone_deacetylase_classI,0.3012266361193712
histone_h4,0.6442273879492865
hox,0.5440808676964731
m14_carboxypeptidase,0.3670401685374633
matrix_metalloproteinase,0.43547035502288883
metallothionein,0.11557465616546815
muscarinic_receptor,0.6610207815923004
nadph_oxidase,0.2537852826844361
nitric_oxide_synthase,0.5532185900397139
olfactory_receptors,0.46200941780346017
opsins,0.3236841840476639
p2y_receptor,0.38062083175205014
peroxidase,0.41930118466970967
peroxiredoxin,0.4149734510035984
phosphodiesterase,0.3209948913100118
rab_gtpase,0.364233321052092
ras_gtpases,0.3765211857563446
rho_gtpase,0.4670747784533513
serine_protease,0.4031364280204138
serotonin_receptor,0.4298769614649697
steap_metalloreductase,0.36255301828678266
sulfotransferase,0.40421863433825156
taste2_receptor,0.4318979339817946
udp_glucuronosyltransferase,0.14503754946630493
