mode,layer,predictor,role,outcome,n,rho,p,rho_partial,p_partial
cds_mean,27,background_rate,primary,loo_cos,399,-0.197,7.662729407772258e-05,-0.111,0.0259672113356192
cds_mean,27,background_rate,primary,loo_cos_pc1,399,-0.269,4.5992683241265717e-08,-0.119,0.0171770856207186
cds_mean,27,background_rate,primary,delta_norm,399,0.034,0.4975096597607299,-0.027,0.5884357682547579
cds_mean,27,focal_residual,primary,loo_cos,399,0.112,0.0247973422662273,0.145,0.0037620988926546
cds_mean,27,focal_residual,primary,loo_cos_pc1,399,-0.164,0.0009902121474055,-0.08,0.1107199111580292
cds_mean,27,focal_residual,primary,delta_norm,399,0.367,3.4722175406095776e-14,0.337,4.524727916188357e-12
cds_mean,27,human_residual,primary,loo_cos,399,0.079,0.1153775222693787,0.007,0.8837605125315916
cds_mean,27,human_residual,primary,loo_cos_pc1,399,0.093,0.0630287779036141,0.01,0.8428547142893574
cds_mean,27,human_residual,primary,delta_norm,399,-0.005,0.9166311228269888,0.003,0.9500404234297132
cds_mean,27,tree_len,legacy,loo_cos,399,-0.194,9.797185674337464e-05,-0.111,0.0267749341521018
cds_mean,27,tree_len,legacy,loo_cos_pc1,399,-0.304,5.26072030783894e-10,-0.15,0.002718362968392
cds_mean,27,tree_len,legacy,delta_norm,399,0.11,0.0285976142183918,0.045,0.366273920041451
cds_mean,27,diameter,legacy,loo_cos,399,-0.259,1.5758168740783293e-07,-0.125,0.0121869224108394
cds_mean,27,diameter,legacy,loo_cos_pc1,399,-0.394,2.8374644191830755e-16,-0.198,6.567509646724666e-05
cds_mean,27,diameter,legacy,delta_norm,399,0.177,0.0003868918631746,0.139,0.0054559671248791
cds_mean,27,focal_target_dist,legacy,loo_cos,399,-0.06,0.2342745604230049,-0.035,0.4795091082973889
cds_mean,27,focal_target_dist,legacy,loo_cos_pc1,399,-0.272,3.2572631134979936e-08,-0.17,0.0006505225434222
cds_mean,27,focal_target_dist,legacy,delta_norm,399,0.26,1.3820491731597574e-07,0.198,6.81838586094208e-05
cds_mean,27,mean_target_dist,legacy,loo_cos,399,-0.098,0.0509662936361135,-0.055,0.2746561107836732
cds_mean,27,mean_target_dist,legacy,loo_cos_pc1,399,-0.305,4.868825789003588e-10,-0.181,0.0002816699583699
cds_mean,27,mean_target_dist,legacy,delta_norm,399,0.265,7.581480082510458e-08,0.208,2.768928726401045e-05
cds_mean,27,treeness,legacy,loo_cos,399,0.097,0.0517945442668829,-0.055,0.2749379263118977
cds_mean,27,treeness,legacy,loo_cos_pc1,399,0.091,0.0699763691617756,-0.027,0.591164110535902
cds_mean,27,treeness,legacy,delta_norm,399,-0.135,0.0068520767282608,-0.197,7.4841210198545e-05
cds_mean,27,dN_background_yn,dnds_primary,loo_cos,382,-0.191,0.0001797802976021,-0.109,0.0332889643960212
cds_mean,27,dN_background_yn,dnds_primary,loo_cos_pc1,382,-0.23,5.705714326680171e-06,-0.112,0.0282711882037047
cds_mean,27,dN_background_yn,dnds_primary,delta_norm,382,0.031,0.5434536497690334,0.008,0.882359145284219
cds_mean,27,omega_background_yn,dnds_primary,loo_cos,382,0.071,0.168084083182637,0.08,0.1182152399209773
cds_mean,27,omega_background_yn,dnds_primary,loo_cos_pc1,382,-0.047,0.3612021690760082,0.002,0.975913379810212
cds_mean,27,omega_background_yn,dnds_primary,delta_norm,382,0.125,0.0148645879411874,0.079,0.1236410148869982
cds_mean,27,dN_hp_yn,dnds_primary,loo_cos,382,-0.034,0.5118944530507704,-0.017,0.7353250034510694
cds_mean,27,dN_hp_yn,dnds_primary,loo_cos_pc1,382,-0.213,2.6776826773195176e-05,-0.131,0.010559420154235
cds_mean,27,dN_hp_yn,dnds_primary,delta_norm,382,0.271,7.673749597484204e-08,0.213,2.590076652318057e-05
cds_mean,27,omega_hp_yn,dnds_primary,loo_cos,382,0.053,0.3046489978882383,0.066,0.1998045090859078
cds_mean,27,omega_hp_yn,dnds_primary,loo_cos_pc1,382,-0.014,0.7843434925763924,0.066,0.197075370593945
cds_mean,27,omega_hp_yn,dnds_primary,delta_norm,382,0.064,0.2134208886665808,0.005,0.9249836867060603
cds_mean,27,omega_m0,dnds_primary,loo_cos,383,0.024,0.6402045301351932,0.083,0.1052025956219221
cds_mean,27,omega_m0,dnds_primary,loo_cos_pc1,383,-0.105,0.0399300814638979,0.016,0.759696201931059
cds_mean,27,omega_m0,dnds_primary,delta_norm,383,0.082,0.1097602739235203,0.028,0.5880496929036046
cds_mean,27,omega_plat_m2,dnds_primary,loo_cos,383,0.012,0.8116812379927905,0.005,0.9172974860078636
cds_mean,27,omega_plat_m2,dnds_primary,loo_cos_pc1,383,-0.009,0.8627442482523875,-0.003,0.9475483510766024
cds_mean,27,omega_plat_m2,dnds_primary,delta_norm,383,0.019,0.7055917508460686,-0.006,0.9109330843797336
cds_mean,27,omega_bg_m2,dnds_primary,loo_cos,383,0.019,0.7173557235771691,0.084,0.0988809000185776
cds_mean,27,omega_bg_m2,dnds_primary,loo_cos_pc1,383,-0.112,0.0277239756455748,0.01,0.8382121946909045
cds_mean,27,omega_bg_m2,dnds_primary,delta_norm,383,0.086,0.0930163644229665,0.039,0.4498702187579718
cds_mean,27,dS_background_yn,dnds_negative_control,loo_cos,382,-0.296,3.877808530935758e-09,-0.255,4.204471696443293e-07
cds_mean,27,dS_background_yn,dnds_negative_control,loo_cos_pc1,382,-0.206,4.788250572754775e-05,-0.139,0.0063701799729079
cds_mean,27,dS_background_yn,dnds_negative_control,delta_norm,382,-0.122,0.0174700999537618,-0.134,0.0088667604502608
