site_set,condition,gc_class,n_sites_per_gene,level,base_level,d_A_n_genes,d_A_mean,d_A_median,d_A_sd,d_A_q25,d_A_q75,d_A_frac_improved
platy_not_human,add_a0.5,gc_up,89.83793085055649,49.05199117984666,44.44696202586844,398,4.605029153978231,4.566007614726313,6.955828143940873,0.4494649426648713,8.199825542208208,0.7688442211055276
platy_not_human,add_a0.5,gc_down,55.6107747187207,32.44758372678474,36.40393995766379,398,-3.9563562308790496,-3.723431777062688,6.898258926270132,-8.080780143779428,0.071978065027455,0.2537688442211055
platy_not_human,add_a0.5,gc_neutral,45.10889214080169,43.75274309308294,42.263708007259474,398,1.489035085823469,0.9864836565169526,7.052835862053005,-2.443611490605866,5.527704043982029,0.5703517587939698
platy_not_human,add_a0.5_L24,gc_up,89.80740988492244,45.53647941484055,44.44696202586844,398,1.0895173889721217,1.0526174121872849,6.2520577666889,-2.43586288358952,4.816038422968957,0.5778894472361809
platy_not_human,add_a0.5_L24,gc_down,55.68605453382463,34.35551784114612,36.40393995766379,398,-2.0484221165176737,-1.8305004630344184,6.893263656618053,-6.182837622735322,2.335935799486311,0.3768844221105528
platy_not_human,add_a0.5_L24,gc_neutral,45.15804655283299,42.97678676907845,42.263708007259474,398,0.7130787618189819,0.4475052391561611,6.811607577216821,-3.372230429079524,4.564138832625471,0.542713567839196
platy_not_human,add_a1.0,gc_up,89.95329438498408,53.89114047893517,44.44696202586844,398,9.444178453066742,8.421511600938832,8.369546734445949,4.032316673484042,13.805063189356352,0.9095477386934674
platy_not_human,add_a1.0,gc_down,55.44517720902771,28.86596146135759,36.40393995766379,398,-7.537978496306199,-7.227259576268093,7.334254694891072,-12.445757929316922,-2.71617289454011,0.1457286432160804
platy_not_human,add_a1.0,gc_neutral,45.10850958087139,44.83882603608957,42.263708007259474,398,2.575118028830087,1.7697623770916024,7.32262938251599,-2.110167628325007,6.090800134010141,0.6155778894472361
platy_not_human,add_a1.0_L24,gc_up,89.83448614827385,46.47298138787922,44.44696202586844,398,2.0260193620107967,2.128387558652058,6.433207464630784,-2.553037240537238,6.023460641874902,0.6055276381909548
platy_not_human,add_a1.0_L24,gc_down,55.70694979922367,34.359690201380815,36.40393995766379,398,-2.04424975628298,-1.9889480505453427,7.000270612117226,-6.081068610974762,2.2951492162018496,0.3768844221105528
platy_not_human,add_a1.0_L24,gc_neutral,45.18395081328498,43.21318280717044,42.263708007259474,398,0.9494747999109768,1.1860984954683715,6.986927104288794,-3.041593822843824,4.3699998217910565,0.585427135678392
platy_not_human,add_a2.0,gc_up,90.32688097776035,59.56384710080784,44.44696202586844,398,15.116885074939416,13.996260229626792,10.678384455888306,7.592226394937796,21.980453331231388,0.9346733668341708
platy_not_human,add_a2.0,gc_down,55.32440327679021,21.998670889893717,36.40393995766379,398,-14.405269067770078,-13.831026891502669,9.537839823852195,-21.106368434693845,-8.143611873250443,0.0628140703517587
platy_not_human,add_a2.0,gc_neutral,45.16763330541598,45.78692767731196,42.263708007259474,398,3.523219670052492,3.3055554668847087,10.18286833910103,-2.7062485056391115,9.357379925395833,0.6457286432160804
platy_not_human,add_a2.0_L24,gc_up,89.80241518671164,49.109342970329074,44.44696202586844,398,4.662380944460642,4.17708537484841,8.06197971210802,-0.4853513919068515,8.760166816584194,0.7311557788944724
platy_not_human,add_a2.0_L24,gc_down,55.68849098626108,32.68344728714565,36.40393995766379,398,-3.7204926705181474,-3.3129322312401577,7.807926601142267,-8.848793963932051,1.6038961038961048,0.3090452261306532
platy_not_human,add_a2.0_L24,gc_neutral,45.17649862700114,44.07301117702895,42.263708007259474,398,1.809303169769479,1.5887295631198122,7.718942960896098,-2.4670619228847244,5.75528051530868,0.6080402010050251
platy_not_human,add_a3.0,gc_up,90.52418358790844,62.02563679478914,44.44696202586844,398,17.578674768920717,16.816830384053276,11.751161881179948,8.457040725706861,25.4590721574632,0.9472361809045228
platy_not_human,add_a3.0,gc_down,55.22308650659781,18.83664432865583,36.40393995766379,398,-17.56729562900796,-17.34022702925747,10.87550601359969,-25.76986844203684,-9.345996338167057,0.0376884422110552
platy_not_human,add_a3.0,gc_neutral,45.25127229693813,46.05858081008719,42.263708007259474,398,3.794872802827709,3.356151072869338,11.75592900891158,-2.8566811460643637,10.018952828039229,0.6557788944723618
platy_not_human,add_a3.0_L24,gc_up,90.00868771094902,51.85800668535801,44.44696202586844,398,7.411044659489597,6.124204693821884,9.437894667739153,0.7854683917461838,12.967282238354118,0.7889447236180904
platy_not_human,add_a3.0_L24,gc_down,55.609361137187776,29.991401945207656,36.40393995766379,398,-6.412538012456137,-5.954319716889095,8.040918805449875,-11.546394660042504,-1.0983347792558291,0.1959798994974874
platy_not_human,add_a3.0_L24,gc_neutral,45.17105209489004,44.990790128841695,42.263708007259474,398,2.727082121582223,1.8195026852868423,8.244058273548156,-2.117147055211621,6.48162154397852,0.635678391959799
platy_not_human,add_a4.0,gc_up,90.65612227666249,63.34934734632884,44.44696202586844,398,18.90238532046041,18.448577775166257,11.86180596332703,9.936737343528014,27.258382045710377,0.9623115577889448
platy_not_human,add_a4.0,gc_down,55.2895608962506,16.349321922582607,36.40393995766379,398,-20.054618035081187,-19.10716374232284,12.070869581640526,-29.471655036154484,-10.9714353898326,0.0326633165829145
platy_not_human,add_a4.0,gc_neutral,45.27759761874084,46.06728396987744,42.263708007259474,398,3.8035759626179657,3.869261940978044,12.416075857163738,-2.7667084377610696,9.9473346973347,0.6557788944723618
platy_not_human,add_a4.0_L24,gc_up,90.09794736600638,54.59154844020285,44.44696202586844,398,10.144586414334428,9.443992308472868,9.952971631222969,3.1910954934567304,15.399636247210363,0.871859296482412
platy_not_human,add_a4.0_L24,gc_down,55.5534855394466,27.276608969554157,36.40393995766379,398,-9.127330988109636,-9.610883681535851,9.057619937757648,-15.499142544017316,-2.9973209021550358,0.1532663316582914
