family,spearman_geodesic_speciestree
adam_metallopeptidase,0.2529671957644074
adamts_metallopeptidase,0.17861512225985002
adrenoceptor,0.5944266737106588
alcohol_dehydrogenase,0.3074380165289256
aldehyde_dehydrogenase,0.203709887311151
aldo_keto_reductase,0.328617081955764
alkaline_phosphatase,0.2037480063795853
arachidonate_lipoxygenase,0.44162494292142296
arf_gtpase,0.2576270955040496
carbonic_anhydrase,0.2144760065736248
cxc_chemokine_receptor,0.46063097128351776
cytochrome_p450,0.31910338962454243
dopamine_receptor,0.409374816245933
ectonucleotide_pyrophosphatase,0.21977553275872513
ferritin,0.27016821820355874
flavin_monooxygenase,0.2805721355779719
globins,0.3656021185856362
glutamate_metabotropic,0.16941579318637628
glutaredoxin,0.3072148019501563
glutathione_peroxidase,0.3094406167637321
glutathione_s_transferase,0.16958737742728075
guanylate_binding_protein,0.37246376811594195
heme_oxygenase,0.3922454903586979
histamine_receptor,0.19293795524278057
histone_deacetylase_classI,0.12359711954745849
histone_h4,-0.0007963051441312311
hox,0.44970013748384047
m14_carboxypeptidase,0.24069068219198644
matrix_metalloproteinase,0.3520060122841629
metallothionein,0.25191252170772616
muscarinic_receptor,0.517171418940315
nadph_oxidase,0.12174130462720999
nitric_oxide_synthase,0.40401093328206333
olfactory_receptors,0.3482384938792142
opsins,0.22313898765297124
p2y_receptor,0.405491071294423
peroxidase,0.29554510888019625
peroxiredoxin,0.3838727590186458
phosphodiesterase,0.2864863494363148
rab_gtpase,0.23061413249291055
ras_gtpases,0.26632070325075413
rho_gtpase,0.3169413743197003
serine_protease,0.34866687139901387
serotonin_receptor,0.48429752634730283
steap_metalloreductase,0.1947510027885224
sulfotransferase,0.2304599524784467
taste2_receptor,0.42998627548360074
udp_glucuronosyltransferase,0.4437653849418556
