family,spearman_geodesic_speciestree
adam_metallopeptidase,0.3347921212758546
adamts_metallopeptidase,0.3945997414293688
adrenoceptor,0.5141004994267678
alcohol_dehydrogenase,0.23641225085075349
aldehyde_dehydrogenase,0.32767658210514977
aldo_keto_reductase,0.5388981863399203
alkaline_phosphatase,0.37302009453802515
arachidonate_lipoxygenase,0.41989989368233
arf_gtpase,0.2778246019963568
carbonic_anhydrase,0.14364955913151828
cxc_chemokine_receptor,0.48336709056098687
cytochrome_p450,0.4441979448381832
dopamine_receptor,0.3367971150447172
ectonucleotide_pyrophosphatase,0.2610960905787025
ferritin,0.2446045971388915
flavin_monooxygenase,0.3754567189779081
globins,0.4422315189768149
glutamate_metabotropic,0.26491676121743635
glutaredoxin,0.2984263744766126
glutathione_peroxidase,0.284212738838799
glutathione_s_transferase,0.22831637216353337
guanylate_binding_protein,0.37681159420289856
heme_oxygenase,0.14031241009898385
histamine_receptor,0.29189381463468106
histone_deacetylase_classI,0.23909954147037593
histone_h4,-0.01312310877528269
hox,0.46743811156227677
m14_carboxypeptidase,0.3596941177836104
matrix_metalloproteinase,0.36614719433032067
metallothionein,0.34225968481067404
muscarinic_receptor,0.5941476367567835
nadph_oxidase,0.30948544982192616
nitric_oxide_synthase,0.31532084928685933
olfactory_receptors,0.2723982673903317
opsins,0.18053059759419773
p2y_receptor,0.3957064941507528
peroxidase,0.5068921377899706
peroxiredoxin,0.39246777506058717
phosphodiesterase,0.3269839142744976
rab_gtpase,0.260692667055092
ras_gtpases,0.1950342800081929
rho_gtpase,0.327977277326802
serine_protease,0.34718470014298186
serotonin_receptor,0.48706510174944373
steap_metalloreductase,0.25499312154827297
sulfotransferase,0.35847269372655205
taste2_receptor,0.4244622275731155
udp_glucuronosyltransferase,0.2072180938491099
