family,spearman_geodesic_kmer
adam_metallopeptidase,0.42861359942400296
adamts_metallopeptidase,0.2601050661008791
adrenoceptor,0.6786077515720617
alcohol_dehydrogenase,0.39172859226335155
aldehyde_dehydrogenase,0.23698596440057534
aldo_keto_reductase,0.3923443105169218
alkaline_phosphatase,0.2605846166217683
arachidonate_lipoxygenase,0.48201511278385123
arf_gtpase,0.4630434040637405
carbonic_anhydrase,0.4170761583647259
cxc_chemokine_receptor,0.7068933174673097
cytochrome_p450,0.4335603125810697
dopamine_receptor,0.5752488746068385
ectonucleotide_pyrophosphatase,0.3711564789960855
ferritin,0.6852291144603709
flavin_monooxygenase,0.24080675884426522
globins,0.6385742463815992
glutamate_metabotropic,0.29991643710505206
glutaredoxin,0.6239478381603925
glutathione_peroxidase,0.6010912466769038
glutathione_s_transferase,0.42776955598938804
guanylate_binding_protein,0.3662055335968379
heme_oxygenase,0.7051005598175409
histamine_receptor,0.4879776398025116
histone_deacetylase_classI,0.2513767395588701
histone_h4,0.7101130753304666
hox,0.6613036357329158
m14_carboxypeptidase,0.35882026930471844
matrix_metalloproteinase,0.4649462735364805
metallothionein,0.3926297137241127
muscarinic_receptor,0.667357652767502
nadph_oxidase,0.24875461529197598
nitric_oxide_synthase,0.6251351660986177
olfactory_receptors,0.5787751857496509
opsins,0.5353800789694184
p2y_receptor,0.5514989984475751
peroxidase,0.3230574348211618
peroxiredoxin,0.5283432884645662
phosphodiesterase,0.3859294117878054
rab_gtpase,0.43109757389697506
ras_gtpases,0.5275061172496893
rho_gtpase,0.5287203527303671
serine_protease,0.39677917655892153
serotonin_receptor,0.5581556352096082
steap_metalloreductase,0.174639575396338
sulfotransferase,0.30116200826518585
taste2_receptor,0.5889232792245725
udp_glucuronosyltransferase,0.19814165335555708
