family,spearman_geodesic_patristic
adam_metallopeptidase,0.38365268543114156
adamts_metallopeptidase,0.2646937362282882
adrenoceptor,0.777026443559415
alcohol_dehydrogenase,0.4330092367525522
aldehyde_dehydrogenase,0.30640280510563633
aldo_keto_reductase,0.42273621622488483
alkaline_phosphatase,0.10851996300912709
arachidonate_lipoxygenase,0.5255283539671299
arf_gtpase,0.497204729633394
carbonic_anhydrase,0.5203490026057768
cxc_chemokine_receptor,0.7545386058795506
cytochrome_p450,0.4255498373565139
dopamine_receptor,0.5974365643645695
ectonucleotide_pyrophosphatase,0.40514549352920276
ferritin,0.7788409722494818
flavin_monooxygenase,0.2604836098465822
globins,0.603306280856653
glutamate_metabotropic,0.35952797100251666
glutaredoxin,0.6908720994311573
glutathione_peroxidase,0.3932064349485024
glutathione_s_transferase,0.3766781370111599
guanylate_binding_protein,0.4679841897233201
heme_oxygenase,0.7684532448683391
histamine_receptor,0.48430055589998533
histone_deacetylase_classI,0.3362583910175885
hox,0.6459986090791017
m14_carboxypeptidase,0.37645801547868
matrix_metalloproteinase,0.4460367772722003
metallothionein,0.3447744225359911
muscarinic_receptor,0.6928285184011899
nadph_oxidase,0.2246662051032902
nitric_oxide_synthase,0.5835923437509191
olfactory_receptors,0.6196270504629363
opsins,0.5008899526960646
p2y_receptor,0.528982789619126
peroxidase,0.32797915195178995
peroxiredoxin,0.5141052597592524
phosphodiesterase,0.38479326332191843
rab_gtpase,0.4663260032147785
ras_gtpases,0.5324270825797192
rho_gtpase,0.5580510340065724
serine_protease,0.3965031049219336
serotonin_receptor,0.5601522154666473
steap_metalloreductase,0.17957955115743432
sulfotransferase,0.3174157464444109
taste2_receptor,0.6059931738654644
udp_glucuronosyltransferase,0.361319073083779
