condition,layer,rho_within_angular,n_families
gc_match,0,0.3173382083419884,48
gc_match,1,0.5139265412079456,48
gc_match,2,0.6335469882429998,48
gc_match,3,0.7752690595075217,48
gc_match,4,0.7183416841633535,48
gc_match,5,0.6682649339487295,48
gc_match,6,0.5889147335845849,48
gc_match,7,0.5121911847962529,48
gc_match,8,0.46959811099206344,48
gc_match,9,0.45109323395686124,48
gc_match,10,0.47804519561732245,48
gc_match,11,0.4663963567056144,48
gc_match,12,0.4558902293994788,48
gc_match,13,0.4316218165461681,48
gc_match,14,0.43133589508693365,48
gc_match,15,0.4237233905214403,48
gc_match,16,0.43003297098350063,48
gc_match,17,0.4366621532442719,48
gc_match,18,0.43595960241742976,48
gc_match,19,0.43285479022712287,48
gc_match,20,0.4261706069588158,48
gc_match,21,0.4283681362479861,48
gc_match,22,0.4354611109854854,48
gc_match,23,0.44510438566839355,48
gc_match,24,0.5885468646169276,48
gc_match,25,0.5769597602659244,48
gc_match,26,0.5891030357227883,48
gc_match,27,0.5551859050361084,48
gc_match,28,0.3201679692162435,48
gc_match,29,0.43218384224266565,48
gc_match,30,0.45534707538735963,48
gc_match,31,0.45534707538735963,48
dinuc_shuffle,0,0.4833970578502662,48
dinuc_shuffle,1,0.6438562117886969,48
dinuc_shuffle,2,0.7157187694511303,48
dinuc_shuffle,3,0.8169813983939475,48
dinuc_shuffle,4,0.7506629999427125,48
dinuc_shuffle,5,0.704226010534399,48
dinuc_shuffle,6,0.6282505866051339,48
dinuc_shuffle,7,0.5411896284653058,48
dinuc_shuffle,8,0.49516664383875036,48
dinuc_shuffle,9,0.4752968047272199,48
dinuc_shuffle,10,0.49462073914863586,48
dinuc_shuffle,11,0.47892628528227227,48
dinuc_shuffle,12,0.46693184621471245,48
dinuc_shuffle,13,0.4349346960348197,48
dinuc_shuffle,14,0.4339237121649473,48
dinuc_shuffle,15,0.4250093428610417,48
dinuc_shuffle,16,0.42776738658919067,48
dinuc_shuffle,17,0.44207722075370776,48
dinuc_shuffle,18,0.44076127101472434,48
dinuc_shuffle,19,0.4384528765423745,48
dinuc_shuffle,20,0.43301807155528776,48
dinuc_shuffle,21,0.43330770430765747,48
dinuc_shuffle,22,0.44304004493001536,48
dinuc_shuffle,23,0.45845996101391434,48
dinuc_shuffle,24,0.6239726178216259,48
dinuc_shuffle,25,0.610774852447655,48
dinuc_shuffle,26,0.6270361022346653,48
dinuc_shuffle,27,0.6165867819905249,48
dinuc_shuffle,28,0.3890429109105198,48
dinuc_shuffle,29,0.5363222439784606,48
dinuc_shuffle,30,0.5846576556399053,48
dinuc_shuffle,31,0.5846576556399053,48
kmer4_shuffle,0,0.5217764876833045,48
kmer4_shuffle,1,0.7047788891582295,48
kmer4_shuffle,2,0.7512354198943219,48
kmer4_shuffle,3,0.8441943052047449,48
kmer4_shuffle,4,0.773010272579826,48
kmer4_shuffle,5,0.7151075538926118,48
kmer4_shuffle,6,0.643783288223425,48
kmer4_shuffle,7,0.5504657530234834,48
kmer4_shuffle,8,0.5115931612681068,48
kmer4_shuffle,9,0.49971093713307796,48
kmer4_shuffle,10,0.4881396042139819,48
kmer4_shuffle,11,0.4680474877704821,48
kmer4_shuffle,12,0.4565607165745045,48
kmer4_shuffle,13,0.4215673933556133,48
kmer4_shuffle,14,0.4206616282650956,48
kmer4_shuffle,15,0.4116582259163648,48
kmer4_shuffle,16,0.41653521651042275,48
kmer4_shuffle,17,0.4209915977355247,48
kmer4_shuffle,18,0.4198168419514672,48
kmer4_shuffle,19,0.41713250042100086,48
kmer4_shuffle,20,0.4135800819731725,48
kmer4_shuffle,21,0.41530990181556643,48
kmer4_shuffle,22,0.4240550963379099,48
kmer4_shuffle,23,0.44802462026874573,48
kmer4_shuffle,24,0.6192834722910294,48
kmer4_shuffle,25,0.6033857573190202,48
kmer4_shuffle,26,0.6284180772818874,48
kmer4_shuffle,27,0.6157852086241223,48
kmer4_shuffle,28,0.36556982642162317,48
kmer4_shuffle,29,0.53557449686403,48
kmer4_shuffle,30,0.569049546994108,48
kmer4_shuffle,31,0.569049546994108,48
kmer6_shuffle,0,0.5202521886173542,48
kmer6_shuffle,1,0.7204853118779208,48
kmer6_shuffle,2,0.7565597540852357,48
kmer6_shuffle,3,0.8451054827567691,48
kmer6_shuffle,4,0.7735681899996285,48
kmer6_shuffle,5,0.7134636418229793,48
kmer6_shuffle,6,0.647166319237536,48
kmer6_shuffle,7,0.5364215588777067,48
kmer6_shuffle,8,0.5063727535213449,48
kmer6_shuffle,9,0.49274338125096734,48
kmer6_shuffle,10,0.48132042524331436,48
kmer6_shuffle,11,0.46564234574634306,48
kmer6_shuffle,12,0.4585463876503721,48
kmer6_shuffle,13,0.43417923034680755,48
kmer6_shuffle,14,0.43404600265821847,48
kmer6_shuffle,15,0.4274900317408545,48
kmer6_shuffle,16,0.43590743213742716,48
kmer6_shuffle,17,0.43710631882036616,48
kmer6_shuffle,18,0.4372866741020422,48
kmer6_shuffle,19,0.4351900457609632,48
kmer6_shuffle,20,0.43183186688468567,48
kmer6_shuffle,21,0.43585415125845567,48
kmer6_shuffle,22,0.44720463299191565,48
kmer6_shuffle,23,0.473477417121116,48
kmer6_shuffle,24,0.6401618648171703,48
kmer6_shuffle,25,0.6237282831860751,48
kmer6_shuffle,26,0.6477410386723196,48
kmer6_shuffle,27,0.624597823981445,48
kmer6_shuffle,28,0.3647299351961742,48
kmer6_shuffle,29,0.5292321023354462,48
kmer6_shuffle,30,0.5788909387125104,48
kmer6_shuffle,31,0.5788909387125104,48
synonymous_recode,0,0.355408551557435,48
synonymous_recode,1,0.6273246731920809,48
synonymous_recode,2,0.7390389787573337,48
synonymous_recode,3,0.8173980152677517,48
synonymous_recode,4,0.7515681704842884,48
synonymous_recode,5,0.6987807163940136,48
synonymous_recode,6,0.6718011989706562,48
synonymous_recode,7,0.6339888479658274,48
synonymous_recode,8,0.6006262779472319,48
synonymous_recode,9,0.6226121851160225,48
synonymous_recode,10,0.6395553102621507,48
synonymous_recode,11,0.6458029163352998,48
synonymous_recode,12,0.6237085899939641,48
synonymous_recode,13,0.6231900567961666,48
synonymous_recode,14,0.638168397076137,48
synonymous_recode,15,0.6281774313722152,48
synonymous_recode,16,0.6400087512347477,48
synonymous_recode,17,0.6553279837618565,48
synonymous_recode,18,0.663313516233962,48
synonymous_recode,19,0.6595270695519942,48
synonymous_recode,20,0.6519777995573292,48
synonymous_recode,21,0.6554431507916071,48
synonymous_recode,22,0.6524344867174968,48
synonymous_recode,23,0.6713069758004638,48
synonymous_recode,24,0.7216044456763765,48
synonymous_recode,25,0.7129670171995289,48
synonymous_recode,26,0.7073928537458481,48
synonymous_recode,27,0.6778127091717994,48
synonymous_recode,28,0.5016744324091197,48
synonymous_recode,29,0.5145276790509111,48
synonymous_recode,30,0.5379143286707396,48
synonymous_recode,31,0.5379143286707396,48
