condition,layer,rho_wasserstein
transcript_cdsmask_kmer4_shuffle,23,0.8141998375606196
transcript_cdsmask_kmer4_shuffle,24,0.8064724372684454
transcript_cdsmask_kmer4_shuffle,25,0.784957973229023
transcript_cdsmask_kmer4_shuffle,26,0.814121897024817
transcript_cdsmask_kmer4_shuffle,27,0.8003704591757724
transcript_cdsmask_kmer4_shuffle,28,0.5215333597282138
transcript_cdsmask_kmer4_shuffle,29,0.6851763956861578
transcript_cdsmask_kmer4_shuffle,30,0.7086245575628817
transcript_cdsmask_kmer4_shuffle,31,0.7086245575628817
transcript_cdsmask_kmer6_shuffle,0,0.9179208317795253
transcript_cdsmask_kmer6_shuffle,1,0.9553720702422651
transcript_cdsmask_kmer6_shuffle,2,0.9884724007813721
transcript_cdsmask_kmer6_shuffle,3,0.9341111428696174
transcript_cdsmask_kmer6_shuffle,4,0.9338529073634178
transcript_cdsmask_kmer6_shuffle,5,0.9319603369124725
transcript_cdsmask_kmer6_shuffle,6,0.9058809002059983
transcript_cdsmask_kmer6_shuffle,7,0.8673481093049045
transcript_cdsmask_kmer6_shuffle,8,0.826353720170668
transcript_cdsmask_kmer6_shuffle,9,0.9322838963197905
transcript_cdsmask_kmer6_shuffle,10,0.7859182671830665
transcript_cdsmask_kmer6_shuffle,11,0.806118444096879
transcript_cdsmask_kmer6_shuffle,12,0.7786323738565204
transcript_cdsmask_kmer6_shuffle,13,0.7672728961025903
transcript_cdsmask_kmer6_shuffle,14,0.7483472083149861
transcript_cdsmask_kmer6_shuffle,15,0.7599101240776208
transcript_cdsmask_kmer6_shuffle,16,0.8236471635790249
transcript_cdsmask_kmer6_shuffle,17,0.7065493009172051
transcript_cdsmask_kmer6_shuffle,18,0.7024322982102222
transcript_cdsmask_kmer6_shuffle,19,0.6768702522178147
transcript_cdsmask_kmer6_shuffle,20,0.6922846528162162
transcript_cdsmask_kmer6_shuffle,21,0.7100594928253322
transcript_cdsmask_kmer6_shuffle,22,0.7064776645182828
transcript_cdsmask_kmer6_shuffle,23,0.8067271695473871
transcript_cdsmask_kmer6_shuffle,24,0.8135354283546467
transcript_cdsmask_kmer6_shuffle,25,0.8058561033768754
transcript_cdsmask_kmer6_shuffle,26,0.8258992119678404
transcript_cdsmask_kmer6_shuffle,27,0.7956506923572676
transcript_cdsmask_kmer6_shuffle,28,0.5394367071429601
