family,spearman_geodesic_patristic
adam_metallopeptidase,0.5720903880353874
adamts_metallopeptidase,0.6261011695071428
adrenoceptor,0.7319684530176239
alcohol_dehydrogenase,0.4281547329675671
aldehyde_dehydrogenase,0.5335380101030016
aldo_keto_reductase,0.5102675841604367
alkaline_phosphatase,0.3501721802604162
arachidonate_lipoxygenase,0.574690493796469
arf_gtpase,0.45655930466314065
carbonic_anhydrase,0.4056885763939052
cxc_chemokine_receptor,0.7100774414894161
cytochrome_p450,0.6149386283868785
dopamine_receptor,0.5031385774992592
ectonucleotide_pyrophosphatase,0.5701887042813562
ferritin,0.8142609541121515
flavin_monooxygenase,0.40094483095459565
globins,0.6796847526238584
glutamate_metabotropic,0.4469763370726194
glutaredoxin,0.6657828945192239
glutathione_peroxidase,0.4769863108795274
glutathione_s_transferase,0.36650400883948275
guanylate_binding_protein,0.5981554677206851
heme_oxygenase,0.7224756375699771
histamine_receptor,0.5169179042337713
histone_deacetylase_classI,0.4034929509270561
hox,0.6542149281331933
m14_carboxypeptidase,0.5557813058414275
matrix_metalloproteinase,0.5551342610994802
metallothionein,0.2684011470835336
muscarinic_receptor,0.7960985126560991
nadph_oxidase,0.4191263351348658
nitric_oxide_synthase,0.7465997604776519
olfactory_receptors,0.4500467581330344
opsins,0.43325092713424845
p2y_receptor,0.7005041337850971
peroxidase,0.5764287683094814
peroxiredoxin,0.4564042850845789
phosphodiesterase,0.4922577462209839
rab_gtpase,0.4832673250216074
ras_gtpases,0.5164249716706488
rho_gtpase,0.5395516811574165
serine_protease,0.4631785233652077
serotonin_receptor,0.616858836369226
steap_metalloreductase,0.27546611163035123
sulfotransferase,0.44965491967692117
taste2_receptor,0.5072791030874874
udp_glucuronosyltransferase,0.32600566397357844
