family,spearman_geodesic_kmer
adam_metallopeptidase,0.5735305669232703
adamts_metallopeptidase,0.5437006504412357
adrenoceptor,0.758282623453056
alcohol_dehydrogenase,0.5418709632613374
aldehyde_dehydrogenase,0.5044467912675686
aldo_keto_reductase,0.5386263742112916
alkaline_phosphatase,0.36940948628255127
arachidonate_lipoxygenase,0.6545517315371295
arf_gtpase,0.5999060461711034
carbonic_anhydrase,0.5354958697650225
cxc_chemokine_receptor,0.8263749786696861
cytochrome_p450,0.6146861803540528
dopamine_receptor,0.6570175991424941
ectonucleotide_pyrophosphatase,0.5964796606888179
ferritin,0.8096050706485745
flavin_monooxygenase,0.4680138414436323
globins,0.7573642387488452
glutamate_metabotropic,0.5802855437800464
glutaredoxin,0.7286437005584934
glutathione_peroxidase,0.7720879462675205
glutathione_s_transferase,0.5293114608904109
guanylate_binding_protein,0.5274044795783925
heme_oxygenase,0.8000311009744971
histamine_receptor,0.726511281686983
histone_deacetylase_classI,0.5562073634478912
histone_h4,0.8003981525720657
hox,0.7486504515300362
m14_carboxypeptidase,0.6236058208839543
matrix_metalloproteinase,0.6330406406955306
metallothionein,0.5705613226029937
muscarinic_receptor,0.8255344509385136
nadph_oxidase,0.4610791195856621
nitric_oxide_synthase,0.7365557844576963
olfactory_receptors,0.6327042994164954
opsins,0.6187246337432812
p2y_receptor,0.7256982409720674
peroxidase,0.5329963766781398
peroxiredoxin,0.6131365487972193
phosphodiesterase,0.5548219450530701
rab_gtpase,0.595830952077948
ras_gtpases,0.6823195292265258
rho_gtpase,0.6836915488963944
serine_protease,0.5792454996330421
serotonin_receptor,0.7155306740529769
steap_metalloreductase,0.4551215703843477
sulfotransferase,0.5054331866125548
taste2_receptor,0.6324020419036397
udp_glucuronosyltransferase,0.4528775146422205
