layer,metric,family,rho
0,patristic tree,nitric_oxide_synthase,0.7850434299367052
0,patristic tree,olfactory_receptors,0.621356245244996
0,patristic tree,opsins,0.6270363847265511
0,patristic tree,p2y_receptor,0.6861752110365842
0,patristic tree,peroxidase,0.6210825833077394
0,patristic tree,peroxiredoxin,0.652659557143197
0,patristic tree,phosphodiesterase,0.5361276851973464
0,patristic tree,rab_gtpase,0.5522269086433047
0,patristic tree,ras_gtpases,0.5271227769973312
0,patristic tree,rho_gtpase,0.6171729485207645
0,patristic tree,serine_protease,0.6007817110972299
0,patristic tree,serotonin_receptor,0.6457823298501009
0,patristic tree,steap_metalloreductase,0.4228659357194046
0,patristic tree,sulfotransferase,0.6630068829744216
0,patristic tree,taste2_receptor,0.6034530524283472
0,patristic tree,udp_glucuronosyltransferase,0.5148952996489549
0,species tree (mammal),adam_metallopeptidase,0.440086050998859
0,species tree (mammal),adamts_metallopeptidase,0.4440892204793775
0,species tree (mammal),adrenoceptor,0.6046907607034758
0,species tree (mammal),alcohol_dehydrogenase,0.2357455378845753
0,species tree (mammal),aldehyde_dehydrogenase,0.4746632457117454
0,species tree (mammal),aldo_keto_reductase,0.6572931178090902
0,species tree (mammal),alkaline_phosphatase,0.4706485464999397
0,species tree (mammal),arachidonate_lipoxygenase,0.5768618316179333
0,species tree (mammal),arf_gtpase,0.4346487468226454
0,species tree (mammal),carbonic_anhydrase,0.2978534386300605
0,species tree (mammal),cxc_chemokine_receptor,0.457413489986067
0,species tree (mammal),cytochrome_p450,0.5958498322099519
0,species tree (mammal),dopamine_receptor,0.4145535797448801
0,species tree (mammal),ectonucleotide_pyrophosphatase,0.4094487215754164
0,species tree (mammal),ferritin,0.2939940474932336
0,species tree (mammal),flavin_monooxygenase,0.5669261333870566
0,species tree (mammal),globins,0.5236798544233806
0,species tree (mammal),glutamate_metabotropic,0.3148283379179559
0,species tree (mammal),glutaredoxin,0.3986763980921255
0,species tree (mammal),glutathione_peroxidase,0.4063292931602421
0,species tree (mammal),glutathione_s_transferase,0.266129349522355
0,species tree (mammal),guanylate_binding_protein,0.4864953886693016
0,species tree (mammal),heme_oxygenase,0.1797843665768193
0,species tree (mammal),histamine_receptor,0.3904121439936716
0,species tree (mammal),histone_deacetylase_classI,0.4356390009975235
0,species tree (mammal),histone_h4,-0.029399585921325
0,species tree (mammal),hox,0.5723835387752185
0,species tree (mammal),m14_carboxypeptidase,0.4387856431705985
0,species tree (mammal),matrix_metalloproteinase,0.4854642355956083
0,species tree (mammal),metallothionein,0.4052806250949967
0,species tree (mammal),muscarinic_receptor,0.6952670078478205
0,species tree (mammal),nadph_oxidase,0.4857386668027606
0,species tree (mammal),nitric_oxide_synthase,0.5369353877091091
0,species tree (mammal),olfactory_receptors,0.4362455988159778
0,species tree (mammal),opsins,0.2434543192695767
0,species tree (mammal),p2y_receptor,0.4044688099526216
0,species tree (mammal),peroxidase,0.6410663291611003
0,species tree (mammal),peroxiredoxin,0.5562259547505002
0,species tree (mammal),phosphodiesterase,0.4116084292381854
0,species tree (mammal),rab_gtpase,0.3988848928116252
0,species tree (mammal),ras_gtpases,0.3697055225332122
0,species tree (mammal),rho_gtpase,0.5232908081358211
0,species tree (mammal),serine_protease,0.4186254034104146
0,species tree (mammal),serotonin_receptor,0.5754211293670202
0,species tree (mammal),steap_metalloreductase,0.4202850040389774
0,species tree (mammal),sulfotransferase,0.5028359671863492
0,species tree (mammal),taste2_receptor,0.4777167177302237
0,species tree (mammal),udp_glucuronosyltransferase,0.4290248007275248
0,GC content (control),adam_metallopeptidase,0.6736151509151211
0,GC content (control),adamts_metallopeptidase,0.7354552238249233
0,GC content (control),adrenoceptor,0.8030225106205026
0,GC content (control),alcohol_dehydrogenase,0.3823467628386873
0,GC content (control),aldehyde_dehydrogenase,0.700631790232406
0,GC content (control),aldo_keto_reductase,0.6483318344331678
0,GC content (control),alkaline_phosphatase,0.6373129657040798
0,GC content (control),arachidonate_lipoxygenase,0.816831077366096
0,GC content (control),arf_gtpase,0.6557418197738019
0,GC content (control),carbonic_anhydrase,0.5045296575836867
0,GC content (control),cxc_chemokine_receptor,0.8794092320413331
0,GC content (control),cytochrome_p450,0.6999858486004866
0,GC content (control),dopamine_receptor,0.7141317013946366
0,GC content (control),ectonucleotide_pyrophosphatase,0.7910237177414347
0,GC content (control),ferritin,0.807714733653897
0,GC content (control),flavin_monooxygenase,0.7241876464955607
0,GC content (control),globins,0.8184397801631581
0,GC content (control),glutamate_metabotropic,0.6001126046332056
0,GC content (control),glutaredoxin,0.6600912062974145
0,GC content (control),glutathione_peroxidase,0.6394159312866192
0,GC content (control),glutathione_s_transferase,0.5106423541022641
0,GC content (control),guanylate_binding_protein,0.7255399713235882
0,GC content (control),heme_oxygenase,0.7612313976434303
0,GC content (control),histamine_receptor,0.7929022306028803
0,GC content (control),histone_deacetylase_classI,0.592340083787303
0,GC content (control),histone_h4,0.7892056400409705
0,GC content (control),hox,0.6674468479441863
0,GC content (control),m14_carboxypeptidase,0.6882541701153813
0,GC content (control),matrix_metalloproteinase,0.6830054713703523
0,GC content (control),metallothionein,0.1540319327108227
0,GC content (control),muscarinic_receptor,0.8693275284938342
0,GC content (control),nadph_oxidase,0.7053377211101974
0,GC content (control),nitric_oxide_synthase,0.812822370627766
0,GC content (control),olfactory_receptors,0.6582066664845395
0,GC content (control),opsins,0.5800682819708846
0,GC content (control),p2y_receptor,0.6700486888523068
0,GC content (control),peroxidase,0.8355333497378549
0,GC content (control),peroxiredoxin,0.6019805903862491
0,GC content (control),phosphodiesterase,0.5952883523120456
0,GC content (control),rab_gtpase,0.6093766784322855
0,GC content (control),ras_gtpases,0.5993449151536601
0,GC content (control),rho_gtpase,0.6992855634266217
0,GC content (control),serine_protease,0.6810082367439382
0,GC content (control),serotonin_receptor,0.7078151350861323
0,GC content (control),steap_metalloreductase,0.7398243255738745
0,GC content (control),sulfotransferase,0.6843315944032431
0,GC content (control),taste2_receptor,0.7503774528883197
0,GC content (control),udp_glucuronosyltransferase,0.7662730974231611
1,"k-mer composition (CDS, k=6)",adam_metallopeptidase,0.7899014537766624
1,"k-mer composition (CDS, k=6)",adamts_metallopeptidase,0.7362650074364203
