family,spearman_geodesic_kmer
adam_metallopeptidase,0.4151768096822951
adamts_metallopeptidase,0.25668557041004836
adrenoceptor,0.686927211934836
alcohol_dehydrogenase,0.38885339259670804
aldehyde_dehydrogenase,0.271204661326907
aldo_keto_reductase,0.38619051743520333
alkaline_phosphatase,0.25231528017905724
arachidonate_lipoxygenase,0.496285987428474
arf_gtpase,0.47987762212462404
carbonic_anhydrase,0.3809651455450497
cxc_chemokine_receptor,0.7664386305691534
cytochrome_p450,0.4360375205233509
dopamine_receptor,0.5894554894663875
ectonucleotide_pyrophosphatase,0.3760930459816874
ferritin,0.7185878706376525
flavin_monooxygenase,0.23605861018719318
globins,0.6549569392724989
glutamate_metabotropic,0.3142975473540467
glutaredoxin,0.6497364090630234
glutathione_peroxidase,0.6367890148814945
glutathione_s_transferase,0.3858651492913978
guanylate_binding_protein,0.46370223978919634
heme_oxygenase,0.7498237611445158
histamine_receptor,0.4678054026639323
histone_deacetylase_classI,0.2790942403698686
histone_h4,0.762159579550884
hox,0.6795134162236877
m14_carboxypeptidase,0.36779241815663555
matrix_metalloproteinase,0.467744317219853
metallothionein,0.4646116087837136
muscarinic_receptor,0.6707838914838675
nadph_oxidase,0.2382833865111558
nitric_oxide_synthase,0.6392329897945892
olfactory_receptors,0.5784404031942464
opsins,0.5366558360601205
p2y_receptor,0.5505471649135295
peroxidase,0.3384702416450235
peroxiredoxin,0.5092247312500492
phosphodiesterase,0.3859262365081884
rab_gtpase,0.44929418556466055
ras_gtpases,0.5516265072611152
rho_gtpase,0.5346500760497148
serine_protease,0.37606128258177784
serotonin_receptor,0.5628936705214491
steap_metalloreductase,0.1789829974799144
sulfotransferase,0.32572432402538676
taste2_receptor,0.600452115971771
udp_glucuronosyltransferase,0.21211523176763816
