family,spearman_geodesic_patristic
adam_metallopeptidase,0.5096500981309974
adamts_metallopeptidase,0.5104872912067593
adrenoceptor,0.7302752470890538
alcohol_dehydrogenase,0.2532745329536773
aldehyde_dehydrogenase,0.44601460996246045
aldo_keto_reductase,0.4504668087959947
alkaline_phosphatase,0.29402382962754475
arachidonate_lipoxygenase,0.6192456281017212
arf_gtpase,0.48384699500331196
carbonic_anhydrase,0.4219654428994204
cxc_chemokine_receptor,0.8128669641847334
cytochrome_p450,0.5416412272791409
dopamine_receptor,0.5708197358265317
ectonucleotide_pyrophosphatase,0.4571230731503998
ferritin,0.8562239628154531
flavin_monooxygenase,0.25642054475469545
globins,0.6496760333483397
glutamate_metabotropic,0.5228827659926815
glutaredoxin,0.6138372442536846
glutathione_peroxidase,0.4935318445487864
glutathione_s_transferase,0.35846133571432154
guanylate_binding_protein,0.5654150197628458
heme_oxygenase,0.7897988803649181
histamine_receptor,0.4911575547709599
histone_deacetylase_classI,0.432990859910793
hox,0.6857432439127372
m14_carboxypeptidase,0.5038176445586658
matrix_metalloproteinase,0.5230615029396108
metallothionein,0.2813105636383774
muscarinic_receptor,0.8182012635779896
nadph_oxidase,0.47430364130455316
nitric_oxide_synthase,0.7654655296595138
olfactory_receptors,0.47534185015319275
opsins,0.3387157067173066
p2y_receptor,0.707866091445819
peroxidase,0.5545726864169331
peroxiredoxin,0.40680767184859656
phosphodiesterase,0.4891127062726879
rab_gtpase,0.46091834038907925
ras_gtpases,0.524857830610028
rho_gtpase,0.518384038330507
serine_protease,0.4530973178649859
serotonin_receptor,0.6728124743809161
steap_metalloreductase,0.23127569937348072
sulfotransferase,0.43570600459692954
taste2_receptor,0.4889246307951858
udp_glucuronosyltransferase,0.34925940072998896
