family,spearman_geodesic_speciestree
adam_metallopeptidase,0.24870651072917105
adamts_metallopeptidase,0.17342260240622734
adrenoceptor,0.5919855388721912
alcohol_dehydrogenase,0.3016459476352524
aldehyde_dehydrogenase,0.2002461175121776
aldo_keto_reductase,0.33438725890290366
alkaline_phosphatase,0.22945398254995777
arachidonate_lipoxygenase,0.44829058476430256
arf_gtpase,0.2562412953594438
carbonic_anhydrase,0.18628470649978093
cxc_chemokine_receptor,0.45708496446667707
cytochrome_p450,0.31409039474336486
dopamine_receptor,0.41020029748503833
ectonucleotide_pyrophosphatase,0.24389818899428312
ferritin,0.2525857270684055
flavin_monooxygenase,0.28137844880770324
globins,0.350265885416003
glutamate_metabotropic,0.17710695691920197
glutaredoxin,0.30264133331838755
glutathione_peroxidase,0.3111924277295407
glutathione_s_transferase,0.16526412185831604
guanylate_binding_protein,0.38465085638998675
heme_oxygenase,0.379732531619324
histamine_receptor,0.1745233201249367
histone_deacetylase_classI,0.1305988524492759
histone_h4,-0.004507087115782768
hox,0.45571501532996744
m14_carboxypeptidase,0.2388603298552664
matrix_metalloproteinase,0.3464345636476714
metallothionein,0.2671885628458148
muscarinic_receptor,0.5189670063133629
nadph_oxidase,0.12044024049978101
nitric_oxide_synthase,0.42581609509139834
olfactory_receptors,0.34114151881198573
opsins,0.22321536904928982
p2y_receptor,0.41185221281241996
peroxidase,0.31996912961119567
peroxiredoxin,0.35165733264738075
phosphodiesterase,0.28397411842485276
rab_gtpase,0.22453747789138603
ras_gtpases,0.2722001260362605
rho_gtpase,0.31185304193293945
serine_protease,0.34764743494512523
serotonin_receptor,0.49171689811143227
steap_metalloreductase,0.18563688513855503
sulfotransferase,0.23516634529196181
taste2_receptor,0.44349966819733394
udp_glucuronosyltransferase,0.45137200885863993
