family,spearman_geodesic_gc
adam_metallopeptidase,0.609701422277022
adamts_metallopeptidase,0.725459056817441
adrenoceptor,0.7433388219664124
alcohol_dehydrogenase,0.4362712000172444
aldehyde_dehydrogenase,0.6497561634648413
aldo_keto_reductase,0.6895321291228163
alkaline_phosphatase,0.6346541442619863
arachidonate_lipoxygenase,0.7805451933265398
arf_gtpase,0.5901673137834904
carbonic_anhydrase,0.4343359092051457
cxc_chemokine_receptor,0.8266290428601358
cytochrome_p450,0.6642606424719919
dopamine_receptor,0.6655232189110791
ectonucleotide_pyrophosphatase,0.6932490062460499
ferritin,0.6561444951070056
flavin_monooxygenase,0.6704940421073855
globins,0.711086228720824
glutamate_metabotropic,0.597590202012773
glutaredoxin,0.5895397922636387
glutathione_peroxidase,0.6399615246891666
glutathione_s_transferase,0.4302526803064697
guanylate_binding_protein,0.6671884831224325
heme_oxygenase,0.6155122097957966
histamine_receptor,0.7388412671896872
histone_deacetylase_classI,0.5639944854817388
histone_h4,0.7622911239074407
hox,0.6283878501737945
m14_carboxypeptidase,0.6581263643546639
matrix_metalloproteinase,0.6435682401847791
metallothionein,0.3049094790639882
muscarinic_receptor,0.8528538110354844
nadph_oxidase,0.6070197471945094
nitric_oxide_synthase,0.7753838644141532
olfactory_receptors,0.5904212719574023
opsins,0.5588914748292285
p2y_receptor,0.6593281651495977
peroxidase,0.7637708507547007
peroxiredoxin,0.5688302077074173
phosphodiesterase,0.588228315679673
rab_gtpase,0.5401095527509597
ras_gtpases,0.5188493749399394
rho_gtpase,0.6536827630978846
serine_protease,0.6000180049710103
serotonin_receptor,0.6891362571518349
steap_metalloreductase,0.643869045079973
sulfotransferase,0.5855097706349001
taste2_receptor,0.6603536008052949
udp_glucuronosyltransferase,0.6503208681824437
