panel,layer,layer_name,v_norm,v_norm_over_mean_delta_norm,delta_norm_median,delta_norm_cv,loo_mean,loo_median,loo_std,loo_min,loo_max,loo_frac_pos,loo_frac_gt25,coherence,coherence_isotropic_floor,split_median,split_p2.5,split_p97.5,null_signflip_loo_median,null_signflip_coherence_median,null_mismatch_loo_median,null_mismatch_coherence_median,null_mismatchpool_loo_median,null_mismatchpool_coherence_median,p_signflip_loo,p_signflip_coherence,p_mismatch_loo,p_mismatch_coherence,p_mismatchpool_loo,p_mismatchpool_coherence
paired103,0,blocks.0,0.0040734992441503,0.4248110505877743,0.0076170249655237,0.5968543959114839,0.3359409030828217,0.5368355976652678,0.576375438202114,-0.8799944860190798,0.943546335278574,0.7378640776699029,0.6699029126213593,0.3508968486509853,0.0985329278164293,0.9548055145437032,0.8728373531953548,0.9749785428193796,-0.000229720675047,0.0867283605749693,0.1841174745326874,0.2079037199609338,0.1619761873286121,0.185567718079071,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375
paired103,1,blocks.1,0.0111813052310878,0.3633691425706341,0.0255637130617055,0.4480357516500969,0.2700527524178922,0.3446053430096024,0.4248736870331416,-0.7118356142576678,0.8662411590679423,0.7572815533980582,0.5631067961165048,0.2927715641458664,0.0985329278164293,0.9029836266925172,0.7959632537767941,0.938114538494396,-0.0055466950958138,0.0923001215903594,0.1558254940334626,0.1897582273921684,0.1424783258613316,0.1780441321969589,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375
paired103,2,blocks.2,0.0391719082722267,0.4031249843311669,0.0358315116594238,1.9428238658701007,0.1330219592224306,0.1280972482792602,0.5132591993012576,-0.9629338996179236,0.962467255551279,0.6796116504854369,0.3009708737864077,0.2277345417907034,0.0985329278164293,0.9500934724417318,-0.4667887634416921,0.9890985515752598,0.0051905362400282,0.0917930433324653,0.0934061451393052,0.1263056415420287,0.0579452153596307,0.0828718748791178,0.008495752123938,0.0004997501249375,0.1379310344827586,0.0014992503748125,0.0464767616191904,0.0004997501249375
paired103,3,blocks.3,0.040089469706008,0.3465346304024199,0.0594357139510376,1.5794661666940353,0.1325872960356694,0.0952918254367947,0.4166746081001526,-0.9378665152802292,0.9266528301866068,0.7087378640776699,0.2524271844660194,0.2123070884400253,0.0985329278164293,0.9004703784429265,-0.128329154457284,0.9667725987192196,-0.000436684954804,0.0938862261184377,0.0864042796211038,0.124520661850495,0.0448812278515906,0.0821597658222479,0.0014992503748125,0.0004997501249375,0.0659670164917541,0.000999500249875,0.0184907546226886,0.0004997501249375
paired103,4,blocks.4,0.0192310406502814,0.2652827818126224,0.0614074193073943,0.585799306495967,0.1926741720403389,0.2167780360717862,0.2408572224792561,-0.3816082352030854,0.6728183732940004,0.7669902912621359,0.4854368932038835,0.234725460363646,0.0985329278164293,0.7711427465972264,0.4476891593763968,0.8625973163606165,-0.0010684953550129,0.0956397539765025,0.0860471596202109,0.1527385407768388,0.028867004692844,0.1151818928397902,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375
paired103,5,blocks.5,0.0264300233684112,0.2991341293110893,0.0764522454060298,0.5124099193635248,0.2377038377998485,0.2679899318811773,0.2383736197035453,-0.3755903796749683,0.6423568811215254,0.8252427184466019,0.5533980582524272,0.2740712705232568,0.0985329278164293,0.8073545317621913,0.5961099916608485,0.8868628891736074,-0.000918349550284,0.0956733023384311,0.1147066524191097,0.173790267415121,0.0552894374341174,0.1340860187534296,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375
paired103,6,blocks.6,0.0308459748486165,0.2933164785240629,0.0928832378544371,0.4243707672875968,0.2370145834911037,0.2761774393110091,0.2397972624774751,-0.4212599428091054,0.6480955830764573,0.8446601941747572,0.5436893203883495,0.2707380643026514,0.0985329278164293,0.8032526281742782,0.6575404583550971,0.8770673829140595,-0.0024828343744681,0.0955126823254108,0.1140335738565921,0.1715916777720392,0.0560341276355378,0.132992089349261,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375
paired103,7,blocks.7,0.0376033796057483,0.2966055300354956,0.1098297440756972,0.4748600849255806,0.2234692247667209,0.3124187233218239,0.3518083546246771,-0.6116388814747591,0.7487684553777425,0.7281553398058253,0.5825242718446602,0.2590907848263864,0.0985329278164293,0.8208490180931818,0.6221331909889376,0.8949831945887107,-0.0045578974881403,0.0933901091038523,0.1135997484494742,0.1672009116634463,0.0565638769848364,0.1282615458925952,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375
paired103,8,blocks.8,0.045885456962044,0.293334820454004,0.1366371935757058,0.5142638779728036,0.2163643337406184,0.3229301777652381,0.4156069902369873,-0.7158775384753286,0.7830280173891756,0.6893203883495146,0.5339805825242718,0.251020138011064,0.0985329278164293,0.8259274763079256,0.5668061133698163,0.8979590800047398,-0.0055899031223388,0.0915632211769306,0.1136516436749638,0.1652639951416095,0.06323337608938,0.131071127876521,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0004997501249375
paired103,9,blocks.9,0.4069896051714174,0.4060623602855193,0.2277499982108966,2.368519450335475,-0.0300051206829148,-0.0719271601222786,0.6989746179765634,-0.992850459943202,0.9938636101435712,0.4660194174757281,0.3398058252427184,0.1635891660091596,0.0985329278164293,0.9834241210920204,-0.8461752476984696,0.9974969397528424,0.0046226685180635,0.0848175677530201,0.0547756265852059,0.0749723897370164,0.0519125520114328,0.0629632508344467,0.6636681659170415,0.032983508245877,0.966016991504248,0.016991504247876,0.9455272363818092,0.025487256371814
