family,spearman_geodesic_gc
adam_metallopeptidase,0.4437689879142424
adamts_metallopeptidase,0.5254302268105927
adrenoceptor,0.6890002395388394
alcohol_dehydrogenase,0.1640722539244016
aldehyde_dehydrogenase,0.40342843922126714
aldo_keto_reductase,0.3950698538759683
alkaline_phosphatase,0.34931418516386686
arachidonate_lipoxygenase,0.562914392499955
arf_gtpase,0.48649111084031316
carbonic_anhydrase,0.3427467555112043
cxc_chemokine_receptor,0.7329678584276156
cytochrome_p450,0.48424496311573173
dopamine_receptor,0.4772519645281639
ectonucleotide_pyrophosphatase,0.46717560498812594
ferritin,0.7848099948277036
flavin_monooxygenase,0.4505483584793087
globins,0.5922151068700404
glutamate_metabotropic,0.5108121258543666
glutaredoxin,0.5249061324768485
glutathione_peroxidase,0.572663536964246
glutathione_s_transferase,0.3121560940590517
guanylate_binding_protein,0.37217189301418085
heme_oxygenase,0.42303764793046
histamine_receptor,0.5204904547188021
histone_deacetylase_classI,0.3868465004172041
histone_h4,0.8548506070108203
hox,0.5873908114717926
m14_carboxypeptidase,0.4665572718808806
matrix_metalloproteinase,0.4946185388991517
metallothionein,0.16909205679723407
muscarinic_receptor,0.6417980900264131
nadph_oxidase,0.321114913541749
nitric_oxide_synthase,0.6484914063868422
olfactory_receptors,0.4955408538491841
opsins,0.3743272434677551
p2y_receptor,0.3873587386959648
peroxidase,0.5042045865232907
peroxiredoxin,0.375792488975607
phosphodiesterase,0.4038306253835169
rab_gtpase,0.373760822331931
ras_gtpases,0.42146479704434286
rho_gtpase,0.5367358342985211
serine_protease,0.43222921051557645
serotonin_receptor,0.549548523233421
steap_metalloreductase,0.4203150470521761
sulfotransferase,0.40733024811415197
taste2_receptor,0.4316275289916723
udp_glucuronosyltransferase,0.2282580734257726
