family,spearman_geodesic_gc
adam_metallopeptidase,0.36634533324392093
adamts_metallopeptidase,0.3898342692431536
adrenoceptor,0.6616158365642064
alcohol_dehydrogenase,0.18343821022671838
aldehyde_dehydrogenase,0.30487631863277054
aldo_keto_reductase,0.3857699209657056
alkaline_phosphatase,0.35692206680756355
arachidonate_lipoxygenase,0.48178642002182553
arf_gtpase,0.45283822410054253
carbonic_anhydrase,0.3411990015465448
cxc_chemokine_receptor,0.6881050601010381
cytochrome_p450,0.4262955283243244
dopamine_receptor,0.4301216091064905
ectonucleotide_pyrophosphatase,0.3655415404323379
ferritin,0.7443027219706432
flavin_monooxygenase,0.37701897309952176
globins,0.5557572786415436
glutamate_metabotropic,0.44089208054835366
glutaredoxin,0.5500971799695036
glutathione_peroxidase,0.5487883633115596
glutathione_s_transferase,0.28340862245698084
guanylate_binding_protein,0.3725670782114262
heme_oxygenase,0.45538282906909244
histamine_receptor,0.41891538047699706
histone_deacetylase_classI,0.3233553182092579
histone_h4,0.8088537148737961
hox,0.5313247267397899
m14_carboxypeptidase,0.3765789081980495
matrix_metalloproteinase,0.43679938086969805
metallothionein,0.16028686195027492
muscarinic_receptor,0.6548654571108838
nadph_oxidase,0.21876737168470764
nitric_oxide_synthase,0.5563109510687312
olfactory_receptors,0.48521319538246
opsins,0.33104344785959705
p2y_receptor,0.39585376363454655
peroxidase,0.41786323635460293
peroxiredoxin,0.398715570397585
phosphodiesterase,0.3214545600537878
rab_gtpase,0.34774186505551286
ras_gtpases,0.38039185050861174
rho_gtpase,0.4867746660830208
serine_protease,0.3880288595248918
serotonin_receptor,0.4664400271033896
steap_metalloreductase,0.3152783104302391
sulfotransferase,0.33107618034279573
taste2_receptor,0.3914711921051223
udp_glucuronosyltransferase,0.18230357737427394
