family,spearman_geodesic_patristic
adam_metallopeptidase,0.5258643315052689
adamts_metallopeptidase,0.4510902811123983
adrenoceptor,0.8056354333977668
alcohol_dehydrogenase,0.5156816445586498
aldehyde_dehydrogenase,0.45990976491469043
aldo_keto_reductase,0.4521140901537398
alkaline_phosphatase,0.19244635653304382
arachidonate_lipoxygenase,0.6211283356586251
arf_gtpase,0.523788554724681
carbonic_anhydrase,0.5589380981582502
cxc_chemokine_receptor,0.7650786770521899
cytochrome_p450,0.5527221847427115
dopamine_receptor,0.6674135635187104
ectonucleotide_pyrophosphatase,0.5835562596634004
ferritin,0.7475196043203483
flavin_monooxygenase,0.42292407026052226
globins,0.7157590191386359
glutamate_metabotropic,0.5023021776044154
glutaredoxin,0.7463275587965007
glutathione_peroxidase,0.5089350092419693
glutathione_s_transferase,0.40912844852062374
guanylate_binding_protein,0.600197628458498
heme_oxygenase,0.8040742276591333
histamine_receptor,0.5908050515160056
histone_deacetylase_classI,0.31966321032491973
hox,0.6794461587523825
m14_carboxypeptidase,0.5656861740287229
matrix_metalloproteinase,0.5635272945381872
metallothionein,0.4013182233799772
muscarinic_receptor,0.8107323956583674
nadph_oxidase,0.36877306470473337
nitric_oxide_synthase,0.6889878258851244
olfactory_receptors,0.6525074995260094
opsins,0.5475117260787868
p2y_receptor,0.6555563149566479
peroxidase,0.4641769454373622
peroxiredoxin,0.5854620362569072
phosphodiesterase,0.4754285224545081
rab_gtpase,0.5279115953267048
ras_gtpases,0.5512557817934188
rho_gtpase,0.5689856639508714
serine_protease,0.5074737524463981
serotonin_receptor,0.616781225924928
steap_metalloreductase,0.29629556345937386
sulfotransferase,0.47299275041759964
taste2_receptor,0.6418731197438045
udp_glucuronosyltransferase,0.471296617820682
