family,spearman_geodesic_speciestree
adam_metallopeptidase,0.3349275066958883
adamts_metallopeptidase,0.3047002513494115
adrenoceptor,0.6350335836356613
alcohol_dehydrogenase,0.40653517605389256
aldehyde_dehydrogenase,0.3355480723889237
aldo_keto_reductase,0.46094331170603525
alkaline_phosphatase,0.3639881790036588
arachidonate_lipoxygenase,0.523275565518561
arf_gtpase,0.3564547257587672
carbonic_anhydrase,0.30690917243993593
cxc_chemokine_receptor,0.5150358600375832
cytochrome_p450,0.4303855200601637
dopamine_receptor,0.4961440838307653
ectonucleotide_pyrophosphatase,0.396840389093084
ferritin,0.4192034772946188
flavin_monooxygenase,0.39191241118383413
globins,0.47984013335660675
glutamate_metabotropic,0.32202033172610817
glutaredoxin,0.3502448821635734
glutathione_peroxidase,0.4414579123869236
glutathione_s_transferase,0.25128113812576125
guanylate_binding_protein,0.46561264822134385
heme_oxygenase,0.4407422765913332
histamine_receptor,0.2579844926469267
histone_deacetylase_classI,0.30280579824099096
histone_h4,0.06520146520146519
hox,0.5124743385717264
m14_carboxypeptidase,0.3990763579987483
matrix_metalloproteinase,0.4290349782565161
metallothionein,0.39328257016525314
muscarinic_receptor,0.6615766802304036
nadph_oxidase,0.24231557831440576
nitric_oxide_synthase,0.48397479609608857
olfactory_receptors,0.3705926436103443
opsins,0.26808604234661365
p2y_receptor,0.5117684994613012
peroxidase,0.4361297550453071
peroxiredoxin,0.47872763671931207
phosphodiesterase,0.38964527712668284
rab_gtpase,0.35604991007785464
ras_gtpases,0.38938414874272953
rho_gtpase,0.4101379661348384
serine_protease,0.44940020372395934
serotonin_receptor,0.5536613674139227
steap_metalloreductase,0.44673455238624005
sulfotransferase,0.35065196111720015
taste2_receptor,0.47403869839593593
udp_glucuronosyltransferase,0.5084650940265913
