family,spearman_geodesic_patristic
adam_metallopeptidase,0.3938446527931614
adamts_metallopeptidase,0.27248678198735443
adrenoceptor,0.7858429093824947
alcohol_dehydrogenase,0.47526911591082716
aldehyde_dehydrogenase,0.3611594496256699
aldo_keto_reductase,0.41647187422095827
alkaline_phosphatase,0.13508034792864512
arachidonate_lipoxygenase,0.5467572048442845
arf_gtpase,0.5201994172822901
carbonic_anhydrase,0.5088127276071267
cxc_chemokine_receptor,0.7943536171316743
cytochrome_p450,0.4528835546259908
dopamine_receptor,0.5945889655228568
ectonucleotide_pyrophosphatase,0.4673369859179575
ferritin,0.8451900343320943
flavin_monooxygenase,0.29148974457767907
globins,0.644779662389227
glutamate_metabotropic,0.39790354574686004
glutaredoxin,0.7054692763584756
glutathione_peroxidase,0.4484778758841686
glutathione_s_transferase,0.3695268082006225
guanylate_binding_protein,0.5546113306982872
heme_oxygenase,0.7889487870619946
histamine_receptor,0.4315113609499828
histone_deacetylase_classI,0.3603937658744822
hox,0.6666799147620536
m14_carboxypeptidase,0.4185515276986076
matrix_metalloproteinase,0.4678527709701991
metallothionein,0.41307191427640616
muscarinic_receptor,0.7399586653048622
nadph_oxidase,0.21565495439605772
nitric_oxide_synthase,0.6177173338433969
olfactory_receptors,0.6180150614049458
opsins,0.4759944782420782
p2y_receptor,0.553648786492536
peroxidase,0.37714053825533406
peroxiredoxin,0.49307057467580806
phosphodiesterase,0.408190119983918
rab_gtpase,0.4897903731597121
ras_gtpases,0.5555832046742663
rho_gtpase,0.5612186023572601
serine_protease,0.38385439596678894
serotonin_receptor,0.5552696253148096
steap_metalloreductase,0.1892427453418447
sulfotransferase,0.37551546553867293
taste2_receptor,0.6178538858739823
udp_glucuronosyltransferase,0.39214895324520993
