family,spearman_geodesic_kmer
adam_metallopeptidase,0.5711738241128307
adamts_metallopeptidase,0.5032006985611308
adrenoceptor,0.77026034872293
alcohol_dehydrogenase,0.5755885825404542
aldehyde_dehydrogenase,0.5181746250156768
aldo_keto_reductase,0.5409690426240642
alkaline_phosphatase,0.3219847747711524
arachidonate_lipoxygenase,0.7210241717677092
arf_gtpase,0.6387671077648521
carbonic_anhydrase,0.5589681909556034
cxc_chemokine_receptor,0.7094643210879003
cytochrome_p450,0.6412291784857325
dopamine_receptor,0.6855179274319435
ectonucleotide_pyrophosphatase,0.63696877093317
ferritin,0.6560494826190733
flavin_monooxygenase,0.4776858060541785
globins,0.7724903765804338
glutamate_metabotropic,0.5139797607278068
glutaredoxin,0.7559881847337387
glutathione_peroxidase,0.769709660170807
glutathione_s_transferase,0.5637503504992036
guanylate_binding_protein,0.7873517786561264
heme_oxygenase,0.821376736471076
histamine_receptor,0.6543849572270359
histone_deacetylase_classI,0.5371633921268621
histone_h4,0.45069278547539415
hox,0.7420875638598682
m14_carboxypeptidase,0.6387558680201108
matrix_metalloproteinase,0.68421281177566
metallothionein,0.6408758234382863
muscarinic_receptor,0.7714237199910439
nadph_oxidase,0.42758379228612536
nitric_oxide_synthase,0.696959094186533
olfactory_receptors,0.7053047187726824
opsins,0.6321973234626345
p2y_receptor,0.6362210336276284
peroxidase,0.541998252036554
peroxiredoxin,0.7056134677896233
phosphodiesterase,0.575941881355416
rab_gtpase,0.62118174047249
ras_gtpases,0.6381216792622688
rho_gtpase,0.6641181084699027
serine_protease,0.6051370148142405
serotonin_receptor,0.6830318853258354
steap_metalloreductase,0.49432091839721765
sulfotransferase,0.5581626705462669
taste2_receptor,0.6662574837535379
udp_glucuronosyltransferase,0.47176887283839153
