family,spearman_geodesic_kmer
adam_metallopeptidase,0.4098374147102486
adamts_metallopeptidase,0.23849064659676328
adrenoceptor,0.6768493999069556
alcohol_dehydrogenase,0.3963678033196749
aldehyde_dehydrogenase,0.24767354024559102
aldo_keto_reductase,0.3779665432258107
alkaline_phosphatase,0.24702129655690022
arachidonate_lipoxygenase,0.4855833848514323
arf_gtpase,0.4646857630943139
carbonic_anhydrase,0.3892628651620882
cxc_chemokine_receptor,0.7325684291641602
cytochrome_p450,0.42103555933564424
dopamine_receptor,0.563579127765667
ectonucleotide_pyrophosphatase,0.35275581419125324
ferritin,0.6809617669844108
flavin_monooxygenase,0.22883543411848092
globins,0.6423999926605061
glutamate_metabotropic,0.2958027609213468
glutaredoxin,0.6352705909897577
glutathione_peroxidase,0.6146707254472761
glutathione_s_transferase,0.36400096700860113
guanylate_binding_protein,0.4559288537549407
heme_oxygenase,0.7532934721502392
histamine_receptor,0.4629402238795083
histone_deacetylase_classI,0.24765741348341908
histone_h4,0.7366459627329194
hox,0.6646267849360149
m14_carboxypeptidase,0.35225866352159146
matrix_metalloproteinase,0.4529988791947301
metallothionein,0.4023098098521144
muscarinic_receptor,0.6632860831579803
nadph_oxidase,0.22641328617371595
nitric_oxide_synthase,0.6261792232624773
olfactory_receptors,0.567108731560413
opsins,0.5322625928307114
p2y_receptor,0.5336586112576069
peroxidase,0.31345999216298653
peroxiredoxin,0.49842908459328966
phosphodiesterase,0.36547246357274227
rab_gtpase,0.4333757803886197
ras_gtpases,0.5273532498724943
rho_gtpase,0.5236947475242226
serine_protease,0.3674718931544447
serotonin_receptor,0.5495910300762687
steap_metalloreductase,0.16581544250471525
sulfotransferase,0.30796604084765
taste2_receptor,0.6003326513355266
udp_glucuronosyltransferase,0.19550373868555687
