condition,len_src,len_delta,pos_identity,edit_identity,pos_identity_chance,p1_identity,p2_identity,p3_identity,aa_identity,null_pos_identity,null_edit_identity,null_pos_identity_chance,null_p1_identity,null_p2_identity,null_p3_identity,null_aa_identity,redraw_pos_identity,pos_identity_sd,n_seqs,pos_excess_se,pos_excess,edit_excess,frac_bases_changed,frac_changes_at_p3
dinuc_shuffle,1286.3703933380582,0.0,0.2622755638771432,0.4859244285349744,0.2605287725436761,0.2599879890556856,0.2563849124354974,0.2704537901402466,0.0611051979786089,0.2620102317780879,0.4879628324599783,0.2605287725436761,0.2626017032979824,0.2608466408486583,0.2625823511876232,0.0663359125753246,0.2622755638771432,0.0170328697331482,11288,0.0001890393071793,0.0002653320990552,-0.0020384039250038,0.7377244361228567,0.3296380844198481
gc_match,1286.3703933380582,0.0,0.257236776808005,0.4756031569363721,0.2573344651783524,0.2559330902932494,0.2515800315527758,0.2641972085779898,0.0579943848861146,0.2574358162016024,0.479710034519188,0.2573528359771625,0.2573764456659181,0.2574273022797813,0.2575037006591078,0.0640387633339047,0.257236776808005,0.0169071640763625,11288,0.000183926901091,-0.0001990393935974,-0.0041068775828158,0.7427632231919951,0.3302096677412789
kmer4_shuffle,1286.3703933380582,0.0,0.2656926298397457,0.4912470633903887,0.2605287725436761,0.2626951639750864,0.2611116224498906,0.2732711030942599,0.0672396314740011,0.2656999432818394,0.4920838428704748,0.2605287725436761,0.2659164330946054,0.2655607066965202,0.2656226900543926,0.071366619977361,0.2656926298397457,0.0176694711487407,11288,0.0001904710418806,-7.3134420937592814e-06,-0.000836779480086,0.7343073701602544,0.3298931421352613
kmer6_shuffle,1286.3703933380582,0.0,0.2727342105696141,0.5029770732993896,0.2605287725436761,0.2698414986920174,0.2685513189903707,0.2798098140264541,0.075874502264211,0.2727798796135418,0.5039007942486528,0.2605287725436761,0.2726179942710311,0.2730475568985548,0.2726740876710395,0.0795788155545345,0.2727342105696141,0.0215128296680633,11288,0.0002048910116052,-4.5669043927720754e-05,-0.0009237209492631,0.7272657894303859,0.3300903174787575
missense_subset,1286.3703933380582,0.0,0.8762182496393788,0.8788698881617469,0.258628072218442,0.9106437378529189,0.9650321993738592,0.7529788116913584,0.7222244942902358,0.8467384674745625,0.8498673476532064,0.258278585514142,0.8850023960593808,0.9534463559385172,0.7017666504257896,0.703703551169131,0.8762182496393788,0.0212821763339146,11288,0.0001170256951543,0.0294797821648162,0.0290025405085405,0.1237817503606212,0.6652062671839188
synonymous_recode,1286.3703933380582,0.0,0.771807180650976,0.7737836592992458,0.2574286115392382,0.9106437378529189,0.9650321993738592,0.4397456047261502,1.0,0.7716684908823502,0.7737019990459019,0.2567185841230408,0.9104722766223368,0.9648850290298197,0.4396481669948943,1.0,0.771807180650976,0.0187787158631274,11288,0.0001636857703864,0.0001386897686257,8.166025334388483e-05,0.2281928193490239,0.8183932589291708
