layer,condition,axis,family,rho
15,kmer4_shuffle,between_family,,0.7696559852570821
15,kmer6_shuffle,between_family,,0.7599101240776208
15,synonymous_recode,between_family,,0.9863079748786334
15,missense_subset,between_family,,0.9526502466029524
15,paired_p3_syn,between_family,,0.9769052209473728
15,paired_p3_missense,between_family,,0.8944173205843063
16,natural,between_family,,1.0
16,gc_match,between_family,,0.7770375526397522
16,dinuc_shuffle,between_family,,0.7853051606082547
16,kmer4_shuffle,between_family,,0.7931321395081748
16,kmer6_shuffle,between_family,,0.8236471635790249
16,synonymous_recode,between_family,,0.9841500286921838
16,missense_subset,between_family,,0.9665443719851448
16,paired_p3_syn,between_family,,0.9720771467162111
16,paired_p3_missense,between_family,,0.9051403564238596
17,natural,between_family,,1.0
17,gc_match,between_family,,0.6779189378629655
17,dinuc_shuffle,between_family,,0.7022057338850586
17,kmer4_shuffle,between_family,,0.713543364543939
17,kmer6_shuffle,between_family,,0.7065493009172051
17,synonymous_recode,between_family,,0.9879931776864792
17,missense_subset,between_family,,0.9536063099293284
17,paired_p3_syn,between_family,,0.9802578679599704
17,paired_p3_missense,between_family,,0.8871845191267096
18,natural,between_family,,1.0
18,gc_match,between_family,,0.6609081943595835
18,dinuc_shuffle,between_family,,0.6800731968818235
18,kmer4_shuffle,between_family,,0.6921439301002654
18,kmer6_shuffle,between_family,,0.7024322982102222
18,synonymous_recode,between_family,,0.9850844790293892
18,missense_subset,between_family,,0.960027131868046
18,paired_p3_syn,between_family,,0.9779024534647264
18,paired_p3_missense,between_family,,0.8843165047269907
19,natural,between_family,,1.0
19,gc_match,between_family,,0.6499057615145689
19,dinuc_shuffle,between_family,,0.6796392231089393
19,kmer4_shuffle,between_family,,0.6882007175646181
19,kmer6_shuffle,between_family,,0.6768702522178147
19,synonymous_recode,between_family,,0.9877888116151834
19,missense_subset,between_family,,0.9594826517594288
19,paired_p3_syn,between_family,,0.9803239359833462
19,paired_p3_missense,between_family,,0.8871765344440565
20,natural,between_family,,1.0
20,gc_match,between_family,,0.6714553414358159
20,dinuc_shuffle,between_family,,0.6946432862672942
20,kmer4_shuffle,between_family,,0.7062437007751631
20,kmer6_shuffle,between_family,,0.6922846528162162
20,synonymous_recode,between_family,,0.987436080943178
20,missense_subset,between_family,,0.9584731537662092
20,paired_p3_syn,between_family,,0.9810928483814448
20,paired_p3_missense,between_family,,0.8817277033924
21,natural,between_family,,1.0
21,gc_match,between_family,,0.676653587226956
21,dinuc_shuffle,between_family,,0.6947471540291772
21,kmer4_shuffle,between_family,,0.711632742857551
21,kmer6_shuffle,between_family,,0.7100594928253322
21,synonymous_recode,between_family,,0.9849478030007728
21,missense_subset,between_family,,0.9636580806050288
21,paired_p3_syn,between_family,,0.9802435289748918
21,paired_p3_missense,between_family,,0.8849860057358283
22,natural,between_family,,1.0
22,gc_match,between_family,,0.6830976608959959
22,dinuc_shuffle,between_family,,0.7178126364032537
22,kmer4_shuffle,between_family,,0.7249827978164143
22,kmer6_shuffle,between_family,,0.7064776645182828
22,synonymous_recode,between_family,,0.9885063544947268
22,missense_subset,between_family,,0.9687612710484388
22,paired_p3_syn,between_family,,0.9828077324703568
22,paired_p3_missense,between_family,,0.8919553711923455
23,natural,between_family,,1.0
23,gc_match,between_family,,0.7699755899472328
23,dinuc_shuffle,between_family,,0.8083707265915735
