layer,family_a,family_b,cos
8,arf_gtpase,rab_gtpase,0.5690669132830388
8,arf_gtpase,ras_gtpases,0.4337385905407076
8,arf_gtpase,rho_gtpase,0.4759784789141836
8,cytochrome_p450,hox,0.6217018390022943
8,cytochrome_p450,rab_gtpase,0.7817750107428686
8,cytochrome_p450,ras_gtpases,0.5587005415515163
8,cytochrome_p450,rho_gtpase,0.8199970038662044
8,hox,rab_gtpase,0.47020972108194614
8,hox,ras_gtpases,0.4379676895735571
8,hox,rho_gtpase,0.49537561956438936
8,rab_gtpase,ras_gtpases,0.5892220057522634
8,rab_gtpase,rho_gtpase,0.8368847418625504
8,ras_gtpases,rho_gtpase,0.5551389445333547
9,arf_gtpase,cytochrome_p450,-0.43449015605301744
9,arf_gtpase,hox,-0.798884703702343
9,arf_gtpase,rab_gtpase,0.9929392483103339
9,arf_gtpase,ras_gtpases,0.9625532171113483
9,arf_gtpase,rho_gtpase,0.9970106576398099
9,cytochrome_p450,hox,0.6606730333445864
9,cytochrome_p450,rab_gtpase,-0.3517608747087502
9,cytochrome_p450,ras_gtpases,-0.30189688218152066
9,cytochrome_p450,rho_gtpase,-0.381392648543795
9,hox,rab_gtpase,-0.7552578421313597
9,hox,ras_gtpases,-0.7055591899298851
9,hox,rho_gtpase,-0.7726976086151459
9,rab_gtpase,ras_gtpases,0.9682459452138961
9,rab_gtpase,rho_gtpase,0.9960027006327459
9,ras_gtpases,rho_gtpase,0.9665734857848949
10,arf_gtpase,cytochrome_p450,-0.4057867800305029
10,arf_gtpase,hox,-0.7309637966826795
10,arf_gtpase,rab_gtpase,0.9878153513448942
10,arf_gtpase,ras_gtpases,0.9289820560379943
10,arf_gtpase,rho_gtpase,0.9956242239377707
10,cytochrome_p450,hox,0.68572021414682
10,cytochrome_p450,rab_gtpase,-0.3049777046362243
10,cytochrome_p450,ras_gtpases,-0.20613962081177623
10,cytochrome_p450,rho_gtpase,-0.3497783869855773
10,hox,rab_gtpase,-0.6584920410270187
10,hox,ras_gtpases,-0.5464023413584403
10,hox,rho_gtpase,-0.6929657504786426
10,rab_gtpase,ras_gtpases,0.9453565664090152
10,rab_gtpase,rho_gtpase,0.9920465463456797
10,ras_gtpases,rho_gtpase,0.9370342641605718
11,arf_gtpase,cytochrome_p450,-0.41920308015168206
11,arf_gtpase,hox,-0.723490823426918
11,arf_gtpase,rab_gtpase,0.9852773031370052
11,arf_gtpase,ras_gtpases,0.919405673006712
11,arf_gtpase,rho_gtpase,0.9952808198367816
11,cytochrome_p450,hox,0.700021040919133
11,cytochrome_p450,rab_gtpase,-0.30786520318457355
11,cytochrome_p450,ras_gtpases,-0.21552937732787672
11,cytochrome_p450,rho_gtpase,-0.36164227621768585
11,hox,rab_gtpase,-0.6428480875433558
11,hox,ras_gtpases,-0.5277862222489225
11,hox,rho_gtpase,-0.684506197230442
