family,spearman_geodesic_kmer
adam_metallopeptidase,0.5700887237625712
adamts_metallopeptidase,0.5004377619752501
adrenoceptor,0.7640990607791982
alcohol_dehydrogenase,0.5043822487672754
aldehyde_dehydrogenase,0.4744252416994692
aldo_keto_reductase,0.5276466847384693
alkaline_phosphatase,0.35321927814187876
arachidonate_lipoxygenase,0.6894598793320119
arf_gtpase,0.6108938176311598
carbonic_anhydrase,0.5265214958529499
cxc_chemokine_receptor,0.5986639104757643
cytochrome_p450,0.6163642291459287
dopamine_receptor,0.6356559692079004
ectonucleotide_pyrophosphatase,0.6336759026890743
ferritin,0.6369157734421337
flavin_monooxygenase,0.4499598874673854
globins,0.7512547727362615
glutamate_metabotropic,0.47724716347201085
glutaredoxin,0.7545787516050632
glutathione_peroxidase,0.7494473001332563
glutathione_s_transferase,0.5544790307459243
guanylate_binding_protein,0.7031620553359683
heme_oxygenase,0.7958117354343769
histamine_receptor,0.6753022295292267
histone_deacetylase_classI,0.48428376471229245
histone_h4,0.5469820035037427
hox,0.7418547535622376
m14_carboxypeptidase,0.6223121560238183
matrix_metalloproteinase,0.6536956670595304
metallothionein,0.6784297446396772
muscarinic_receptor,0.7581510571354134
nadph_oxidase,0.4664521224202227
nitric_oxide_synthase,0.6928148598680518
olfactory_receptors,0.6685474148704061
opsins,0.6382388413692023
p2y_receptor,0.609935565058889
peroxidase,0.5087324697802065
peroxiredoxin,0.667051696390117
phosphodiesterase,0.5494520886448618
rab_gtpase,0.597808430647327
ras_gtpases,0.6316146614230654
rho_gtpase,0.6494159061958589
serine_protease,0.5686613637227022
serotonin_receptor,0.6504055018244677
steap_metalloreductase,0.4324611065807833
sulfotransferase,0.5533962253008559
taste2_receptor,0.6232000142590696
udp_glucuronosyltransferase,0.41569553441211193
