family,spearman_geodesic_gc
adam_metallopeptidase,0.37350218379509126
adamts_metallopeptidase,0.3983236772489933
adrenoceptor,0.6405444426950531
alcohol_dehydrogenase,0.24634452602623036
aldehyde_dehydrogenase,0.34990697765552115
aldo_keto_reductase,0.3742599275781299
alkaline_phosphatase,0.33840246238355487
arachidonate_lipoxygenase,0.488101086489701
arf_gtpase,0.4684800382658193
carbonic_anhydrase,0.32931599949029994
cxc_chemokine_receptor,0.508411793777011
cytochrome_p450,0.44309456898252403
dopamine_receptor,0.46369344398362405
ectonucleotide_pyrophosphatase,0.43247406923712484
ferritin,0.4570958481094104
flavin_monooxygenase,0.3887197965031236
globins,0.5916420870192934
glutamate_metabotropic,0.40062880125078804
glutaredoxin,0.5603455316724966
glutathione_peroxidase,0.5311345827297831
glutathione_s_transferase,0.3179583159949823
guanylate_binding_protein,0.48386390200388374
heme_oxygenase,0.5134330988722245
histamine_receptor,0.45868524839676383
histone_deacetylase_classI,0.3037116819781273
histone_h4,0.6928854548609106
hox,0.5477449104539392
m14_carboxypeptidase,0.3900831331431153
matrix_metalloproteinase,0.45559885766580777
metallothionein,0.12404152156517421
muscarinic_receptor,0.668565365517166
nadph_oxidase,0.2689436447895558
nitric_oxide_synthase,0.5525024328456217
olfactory_receptors,0.4812323868268409
opsins,0.31775786751989066
p2y_receptor,0.38442943206772423
peroxidase,0.42870588545665866
peroxiredoxin,0.4048502526009825
phosphodiesterase,0.3478007657224373
rab_gtpase,0.3732433244750003
ras_gtpases,0.3783045843982738
rho_gtpase,0.47907969864321376
serine_protease,0.402182659556971
serotonin_receptor,0.44081467747855
steap_metalloreductase,0.3160951818463389
sulfotransferase,0.3914464156501424
taste2_receptor,0.42361335894862356
udp_glucuronosyltransferase,0.18236862498217085
