condition,family,rho_angular_vs_natural,rho_angular_speciestree,written_at,generator
gc_match,glutaredoxin,0.34178064999219626,0.13074191487796466,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,glutathione_peroxidase,0.25917997732168,0.19470402630612066,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,glutathione_s_transferase,0.2714692978254898,0.14534984393246367,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,guanylate_binding_protein,0.2543478260869565,0.322463768115942,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,heme_oxygenase,0.7490877047480821,0.3464855898818163,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,histamine_receptor,0.45534537490514887,0.2705085713592093,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,histone_deacetylase_classI,0.4859377359741426,0.24159503003413482,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,histone_h4,0.3144927536231884,-0.2434464086638,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,hox,0.2817138227511384,0.11847242034249764,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,m14_carboxypeptidase,0.554014551238432,0.29957736792409945,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,matrix_metalloproteinase,0.4762392861420009,0.29381258508181135,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,metallothionein,0.06274413273075473,-0.03158227683749691,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,muscarinic_receptor,0.188875165703923,0.089866278022755,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,nadph_oxidase,0.7221699098745757,0.12904870764431797,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,nitric_oxide_synthase,0.3063876861914417,0.11851003595851146,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,olfactory_receptors,0.030570098343625913,-0.03030198696741071,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,opsins,0.47901654513786807,0.09207266117886022,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,p2y_receptor,0.18142826057139277,0.01813071141957329,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,peroxidase,0.7363030045819848,0.33124193920593775,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,peroxiredoxin,0.48852795899597606,0.31036672202011906,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,phosphodiesterase,0.6536134428745299,0.26925103598830413,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,rab_gtpase,0.3833053947876918,0.20514542176412576,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,ras_gtpases,0.31129473729418317,0.2246444359559055,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,rho_gtpase,0.39487835567440177,0.1387066368235096,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,serine_protease,0.40097625333795117,0.2549520970542701,2026-08-31,mammal_controls_score:transcript_cdsmask
