family,spearman_geodesic_patristic
adam_metallopeptidase,0.37356536115000644
adamts_metallopeptidase,0.24691821191015612
adrenoceptor,0.775313249693249
alcohol_dehydrogenase,0.4800263907215778
aldehyde_dehydrogenase,0.3164351390101142
aldo_keto_reductase,0.42543120446998206
alkaline_phosphatase,0.12068607347245117
arachidonate_lipoxygenase,0.5266693155196119
arf_gtpase,0.5183537033592878
carbonic_anhydrase,0.4968464402284087
cxc_chemokine_receptor,0.7780265134905647
cytochrome_p450,0.4210451864916186
dopamine_receptor,0.5800955163465272
ectonucleotide_pyrophosphatase,0.40293016652298735
ferritin,0.7625067562058958
flavin_monooxygenase,0.26112575758580503
globins,0.6212336170150095
glutamate_metabotropic,0.36823458227622274
glutaredoxin,0.7013122309538607
glutathione_peroxidase,0.419935949283117
glutathione_s_transferase,0.33947021568896274
guanylate_binding_protein,0.5476284584980237
heme_oxygenase,0.7679970972423803
histamine_receptor,0.49005036814725234
histone_deacetylase_classI,0.3535481047954228
hox,0.6400800791189868
m14_carboxypeptidase,0.38192504807915173
matrix_metalloproteinase,0.4446937193340168
metallothionein,0.3618070498512299
muscarinic_receptor,0.7099112650456021
nadph_oxidase,0.22533812663221484
nitric_oxide_synthase,0.5943497369965394
olfactory_receptors,0.6157163076184986
opsins,0.5076266016003143
p2y_receptor,0.5129507461287065
peroxidase,0.34700452453643266
peroxiredoxin,0.5050379428034585
phosphodiesterase,0.38020225043195954
rab_gtpase,0.473471836054182
ras_gtpases,0.5393392382172726
rho_gtpase,0.5514988683157622
serine_protease,0.3729785516218492
serotonin_receptor,0.5354620680296381
steap_metalloreductase,0.19006528757479998
sulfotransferase,0.3450629467130602
taste2_receptor,0.6274809292857265
udp_glucuronosyltransferase,0.37941832380335055
